source,target,weight,type
n2792,n2962,1,MAJ
n2792,n3278,1,MAJ
n2792,n3432,1,MAJ
n2792,n3475,1,MAJ
n2792,n3499,1,MAJ
n2792,n3559,1,MAJ
n2792,n3713,1,MAJ
n2794,n2913,1,MAJ
n2794,n2971,1,MAJ
n2794,n3180,1,MAJ
n2794,n3393,1,MAJ
n2794,n3421,1,MAJ
n2794,n3516,1,MAJ
n2794,n3647,1,MAJ
n2794,n3904,1,MAJ
n2794,n3953,1,MAJ
n2794,n4640,1,MAJ
n2797,n2826,1,MAJ
n2797,n2829,1,MAJ
n2797,n2846,1,MAJ
n2797,n2891,1,MAJ
n2797,n2913,1,MAJ
n2797,n2971,1,MAJ
n2797,n3030,1,MAJ
n2797,n3129,1,MAJ
n2797,n3133,1,MAJ
n2797,n3205,1,MAJ
n2797,n3247,1,MAJ
n2797,n3249,1,MAJ
n2797,n3368,1,MAJ
n2797,n3379,1,MAJ
n2797,n3438,1,MAJ
n2797,n3516,1,MAJ
n2797,n3602,1,MAJ
n2797,n3716,1,MAJ
n2797,n3723,1,MAJ
n2797,n3735,1,MAJ
n2797,n3844,1,MAJ
n2797,n4021,1,MAJ
n2797,n4086,1,MAJ
n2797,n4146,1,MAJ
n2797,n4217,1,MAJ
n2797,n4239,1,MAJ
n2797,n4318,1,MAJ
n2797,n4475,1,MAJ
n2797,n4648,1,MAJ
n2803,n3291,1,MAJ
n2803,n3447,1,MAJ
n2803,n3450,1,MAJ
n2803,n3498,1,MAJ
n2803,n3669,1,MAJ
n2803,n3838,1,MAJ
n2806,n2962,1,MAJ
n2806,n3278,1,MAJ
n2806,n3432,1,MAJ
n2806,n3475,1,MAJ
n2806,n3499,1,MAJ
n2806,n3559,1,MAJ
n2806,n3713,1,MAJ
n2809,n2830,1,MAJ
n2809,n2834,1,MAJ
n2809,n3036,1,MAJ
n2809,n3070,1,MAJ
n2809,n3097,1,MAJ
n2809,n3259,1,MAJ
n2809,n3403,1,MAJ
n2809,n3472,1,MAJ
n2809,n3493,1,MAJ
n2809,n3695,1,MAJ
n2809,n3696,1,MAJ
n2809,n3701,1,MAJ
n2809,n3731,1,MAJ
n2809,n3741,1,MAJ
n2809,n3742,1,MAJ
n2809,n3807,1,MAJ
n2809,n3870,1,MAJ
n2809,n3961,1,MAJ
n2809,n4046,1,MAJ
n2809,n4159,1,MAJ
n2809,n4339,1,MAJ
n2809,n4397,1,MAJ
n2809,n4430,1,MAJ
n2809,n4549,1,MAJ
n2816,n2843,1,MAJ
n2816,n2846,1,UNIT
n2816,n2948,1,MAJ
n2816,n2962,1,UNIT
n2816,n2965,1,UNIT
n2816,n3102,1,UNIT
n2816,n3180,1,UNIT
n2816,n3349,1,MAJ
n2816,n3364,1,MAJ
n2816,n3393,1,UNIT
n2816,n3457,1,MAJ
n2816,n3559,1,UNIT
n2816,n3647,1,UNIT
n2816,n3930,1,MAJ
n2816,n3953,1,UNIT
n2816,n4046,1,UNIT
n2816,n4105,1,MAJ
n2816,n4431,1,UNIT
n2816,n4681,1,MAJ
n2826,n2829,1,MAJ
n2826,n2846,1,MAJ
n2826,n2891,1,MAJ
n2826,n2913,1,MAJ
n2826,n2971,1,MAJ
n2826,n3030,1,MAJ
n2826,n3129,1,MAJ
n2826,n3133,1,MAJ
n2826,n3205,1,MAJ
n2826,n3247,1,MAJ
n2826,n3249,1,MAJ
n2826,n3368,1,MAJ
n2826,n3379,1,MAJ
n2826,n3438,1,MAJ
n2826,n3516,1,MAJ
n2826,n3602,1,MAJ
n2826,n3716,1,MAJ
n2826,n3723,1,MAJ
n2826,n3735,1,MAJ
n2826,n3844,1,MAJ
n2826,n4021,1,MAJ
n2826,n4086,1,MAJ
n2826,n4146,1,MAJ
n2826,n4217,1,MAJ
n2826,n4239,1,MAJ
n2826,n4318,1,MAJ
n2826,n4475,1,MAJ
n2826,n4648,1,MAJ
n2829,n2846,1,MAJ
n2829,n2891,1,MAJ
n2829,n2913,1,MAJ
n2829,n2971,1,MAJ
n2829,n3030,1,MAJ
n2829,n3129,1,MAJ
n2829,n3133,1,MAJ
n2829,n3205,1,MAJ
n2829,n3247,1,MAJ
n2829,n3249,1,MAJ
n2829,n3368,1,MAJ
n2829,n3379,1,MAJ
n2829,n3438,1,MAJ
n2829,n3516,1,MAJ
n2829,n3602,1,MAJ
n2829,n3716,1,MAJ
n2829,n3723,1,MAJ
n2829,n3735,1,MAJ
n2829,n3844,1,MAJ
n2829,n4021,1,MAJ
n2829,n4086,1,MAJ
n2829,n4146,1,MAJ
n2829,n4217,1,MAJ
n2829,n4239,1,MAJ
n2829,n4318,1,MAJ
n2829,n4475,1,MAJ
n2829,n4648,1,MAJ
n2830,n2834,1,MAJ
n2830,n3036,1,MAJ
n2830,n3070,1,MAJ
n2830,n3097,1,MAJ
n2830,n3259,1,MAJ
n2830,n3403,1,MAJ
n2830,n3472,1,MAJ
n2830,n3493,1,MAJ
n2830,n3695,1,MAJ
n2830,n3696,1,MAJ
n2830,n3701,1,MAJ
n2830,n3731,1,MAJ
n2830,n3741,1,MAJ
n2830,n3742,1,MAJ
n2830,n3807,1,MAJ
n2830,n3870,1,MAJ
n2830,n3961,1,MAJ
n2830,n4046,1,MAJ
n2830,n4159,1,MAJ
n2830,n4339,1,MAJ
n2830,n4397,1,MAJ
n2830,n4430,1,MAJ
n2830,n4549,1,MAJ
n2834,n3036,1,MAJ
n2834,n3070,1,MAJ
n2834,n3097,1,MAJ
n2834,n3259,1,MAJ
n2834,n3403,1,MAJ
n2834,n3472,1,MAJ
n2834,n3493,1,MAJ
n2834,n3695,1,MAJ
n2834,n3696,1,MAJ
n2834,n3701,1,MAJ
n2834,n3731,1,MAJ
n2834,n3741,1,MAJ
n2834,n3742,1,MAJ
n2834,n3807,1,MAJ
n2834,n3870,1,MAJ
n2834,n3961,1,MAJ
n2834,n4046,1,MAJ
n2834,n4159,1,MAJ
n2834,n4339,1,MAJ
n2834,n4397,1,MAJ
n2834,n4430,1,MAJ
n2834,n4549,1,MAJ
n2842,n3182,1,MAJ
n2842,n3275,1,MAJ
n2842,n3555,1,MAJ
n2843,n2863,1,UNIT
n2843,n2948,1,MAJ
n2843,n3036,1,UNIT
n2843,n3057,1,UNIT
n2843,n3349,1,MAJ
n2843,n3364,1,MAJ
n2843,n3403,1,UNIT
n2843,n3438,1,UNIT
n2843,n3457,1,MAJ
n2843,n3723,1,UNIT
n2843,n3930,1,MAJ
n2843,n3996,1,MAJ
n2843,n4105,1,MAJ
n2843,n4233,1,MAJ
n2843,n4339,1,UNIT
n2843,n4681,1,MAJ
n2846,n2891,1,MAJ
n2846,n2913,1,MAJ
n2846,n2962,1,UNIT
n2846,n2965,1,UNIT
n2846,n2971,1,MAJ
n2846,n3030,1,MAJ
n2846,n3102,1,UNIT
n2846,n3129,1,MAJ
n2846,n3133,1,MAJ
n2846,n3180,1,UNIT
n2846,n3205,1,MAJ
n2846,n3247,1,MAJ
n2846,n3249,1,MAJ
n2846,n3368,1,MAJ
n2846,n3379,1,MAJ
n2846,n3393,1,UNIT
n2846,n3438,1,MAJ
n2846,n3516,1,MAJ
n2846,n3559,1,UNIT
n2846,n3602,1,MAJ
n2846,n3647,1,UNIT
n2846,n3716,1,MAJ
n2846,n3723,1,MAJ
n2846,n3735,1,MAJ
n2846,n3844,1,MAJ
n2846,n3953,1,UNIT
n2846,n4021,1,MAJ
n2846,n4046,1,UNIT
n2846,n4086,1,MAJ
n2846,n4146,1,MAJ
n2846,n4217,1,MAJ
n2846,n4239,1,MAJ
n2846,n4318,1,MAJ
n2846,n4431,1,UNIT
n2846,n4475,1,MAJ
n2846,n4648,1,MAJ
n2863,n2951,1,MAJ
n2863,n3036,1,UNIT
n2863,n3039,1,MAJ
n2863,n3057,1,UNIT
n2863,n3403,1,UNIT
n2863,n3421,1,MAJ
n2863,n3438,1,UNIT
n2863,n3477,1,MAJ
n2863,n3488,1,MAJ
n2863,n3571,1,MAJ
n2863,n3575,1,MAJ
n2863,n3723,1,UNIT
n2863,n4339,1,UNIT
n2863,n4588,1,MAJ
n2891,n2913,1,MAJ
n2891,n2927,1,UNIT
n2891,n2971,1,MAJ
n2891,n3030,1,MAJ
n2891,n3129,1,MAJ
n2891,n3133,1,MAJ
n2891,n3205,1,MAJ
n2891,n3247,1,MAJ
n2891,n3249,1,MAJ
n2891,n3368,1,MAJ
n2891,n3379,2,BOTH
n2891,n3438,1,MAJ
n2891,n3516,1,MAJ
n2891,n3602,1,MAJ
n2891,n3716,1,MAJ
n2891,n3723,1,MAJ
n2891,n3735,1,MAJ
n2891,n3844,1,MAJ
n2891,n3893,1,UNIT
n2891,n4021,1,MAJ
n2891,n4086,1,MAJ
n2891,n4095,1,UNIT
n2891,n4146,1,MAJ
n2891,n4159,1,UNIT
n2891,n4217,1,MAJ
n2891,n4239,1,MAJ
n2891,n4318,2,BOTH
n2891,n4475,1,MAJ
n2891,n4648,1,MAJ
n2899,n3468,1,MAJ
n2899,n3968,1,MAJ
n2899,n3971,1,MAJ
n2899,n3972,1,MAJ
n2899,n4140,1,MAJ
n2899,n4450,1,MAJ
n2913,n2971,1,MAJ
n2913,n3030,1,MAJ
n2913,n3129,1,MAJ
n2913,n3133,1,MAJ
n2913,n3180,1,MAJ
n2913,n3205,1,MAJ
n2913,n3247,1,MAJ
n2913,n3249,1,MAJ
n2913,n3368,1,MAJ
n2913,n3379,1,MAJ
n2913,n3393,1,MAJ
n2913,n3421,1,MAJ
n2913,n3438,1,MAJ
n2913,n3516,1,MAJ
n2913,n3602,1,MAJ
n2913,n3647,1,MAJ
n2913,n3716,1,MAJ
n2913,n3723,1,MAJ
n2913,n3735,1,MAJ
n2913,n3844,1,MAJ
n2913,n3904,1,MAJ
n2913,n3953,1,MAJ
n2913,n4021,1,MAJ
n2913,n4086,1,MAJ
n2913,n4146,1,MAJ
n2913,n4217,1,MAJ
n2913,n4239,1,MAJ
n2913,n4318,1,MAJ
n2913,n4475,1,MAJ
n2913,n4640,1,MAJ
n2913,n4648,1,MAJ
n2914,n3055,1,MAJ
n2914,n3221,1,MAJ
n2914,n3235,1,MAJ
n2914,n3737,1,MAJ
n2914,n3878,1,MAJ
n2914,n4439,1,MAJ
n2927,n2965,1,MAJ
n2927,n3379,1,UNIT
n2927,n3893,1,UNIT
n2927,n4095,1,UNIT
n2927,n4159,1,UNIT
n2927,n4318,1,UNIT
n2927,n4681,1,MAJ
n2948,n3349,1,MAJ
n2948,n3364,1,MAJ
n2948,n3457,1,MAJ
n2948,n3930,1,MAJ
n2948,n4105,1,MAJ
n2948,n4681,1,MAJ
n2951,n3039,1,MAJ
n2951,n3421,1,MAJ
n2951,n3477,1,MAJ
n2951,n3488,1,MAJ
n2951,n3571,1,MAJ
n2951,n3575,1,MAJ
n2951,n4588,1,MAJ
n2957,n3027,1,MAJ
n2957,n3327,1,MAJ
n2957,n3335,1,MAJ
n2957,n3501,1,MAJ
n2957,n3725,1,MAJ
n2957,n3732,1,MAJ
n2957,n3733,1,MAJ
n2957,n4419,1,MAJ
n2957,n4603,1,MAJ
n2962,n2965,1,UNIT
n2962,n3102,1,UNIT
n2962,n3180,1,UNIT
n2962,n3278,1,MAJ
n2962,n3393,1,UNIT
n2962,n3432,1,MAJ
n2962,n3475,1,MAJ
n2962,n3499,1,MAJ
n2962,n3559,2,BOTH
n2962,n3647,1,UNIT
n2962,n3713,1,MAJ
n2962,n3953,1,UNIT
n2962,n4046,1,UNIT
n2962,n4431,1,UNIT
n2965,n3102,1,UNIT
n2965,n3180,1,UNIT
n2965,n3393,1,UNIT
n2965,n3559,1,UNIT
n2965,n3647,1,UNIT
n2965,n3953,1,UNIT
n2965,n4046,1,UNIT
n2965,n4431,1,UNIT
n2965,n4681,1,MAJ
n2971,n3030,1,MAJ
n2971,n3129,1,MAJ
n2971,n3133,1,MAJ
n2971,n3180,1,MAJ
n2971,n3205,1,MAJ
n2971,n3247,1,MAJ
n2971,n3249,1,MAJ
n2971,n3368,1,MAJ
n2971,n3379,1,MAJ
n2971,n3393,1,MAJ
n2971,n3421,1,MAJ
n2971,n3438,1,MAJ
n2971,n3516,1,MAJ
n2971,n3602,1,MAJ
n2971,n3647,1,MAJ
n2971,n3716,1,MAJ
n2971,n3723,1,MAJ
n2971,n3735,1,MAJ
n2971,n3844,1,MAJ
n2971,n3904,1,MAJ
n2971,n3953,1,MAJ
n2971,n4021,1,MAJ
n2971,n4086,1,MAJ
n2971,n4146,1,MAJ
n2971,n4217,1,MAJ
n2971,n4239,1,MAJ
n2971,n4318,1,MAJ
n2971,n4475,1,MAJ
n2971,n4640,1,MAJ
n2971,n4648,1,MAJ
n3027,n3327,1,MAJ
n3027,n3335,1,MAJ
n3027,n3501,1,MAJ
n3027,n3725,1,MAJ
n3027,n3732,1,MAJ
n3027,n3733,1,MAJ
n3027,n4419,1,MAJ
n3027,n4603,1,MAJ
n3030,n3129,1,MAJ
n3030,n3133,1,MAJ
n3030,n3205,1,MAJ
n3030,n3247,1,MAJ
n3030,n3249,1,MAJ
n3030,n3368,1,MAJ
n3030,n3379,1,MAJ
n3030,n3438,1,MAJ
n3030,n3516,1,MAJ
n3030,n3602,1,MAJ
n3030,n3716,1,MAJ
n3030,n3723,1,MAJ
n3030,n3735,1,MAJ
n3030,n3844,1,MAJ
n3030,n4021,1,MAJ
n3030,n4086,1,MAJ
n3030,n4146,1,MAJ
n3030,n4217,1,MAJ
n3030,n4239,1,MAJ
n3030,n4318,1,MAJ
n3030,n4475,1,MAJ
n3030,n4648,1,MAJ
n3036,n3057,1,UNIT
n3036,n3070,1,MAJ
n3036,n3097,1,MAJ
n3036,n3259,1,MAJ
n3036,n3403,2,BOTH
n3036,n3438,1,UNIT
n3036,n3472,1,MAJ
n3036,n3493,1,MAJ
n3036,n3695,1,MAJ
n3036,n3696,1,MAJ
n3036,n3701,1,MAJ
n3036,n3723,1,UNIT
n3036,n3731,1,MAJ
n3036,n3741,1,MAJ
n3036,n3742,1,MAJ
n3036,n3807,1,MAJ
n3036,n3870,1,MAJ
n3036,n3961,1,MAJ
n3036,n4046,1,MAJ
n3036,n4159,1,MAJ
n3036,n4339,2,BOTH
n3036,n4397,1,MAJ
n3036,n4430,1,MAJ
n3036,n4549,1,MAJ
n3038,n3508,1,MAJ
n3039,n3421,1,MAJ
n3039,n3477,1,MAJ
n3039,n3488,1,MAJ
n3039,n3571,1,MAJ
n3039,n3575,1,MAJ
n3039,n4588,1,MAJ
n3052,n3863,1,MAJ
n3055,n3221,1,MAJ
n3055,n3235,1,MAJ
n3055,n3737,1,MAJ
n3055,n3878,1,MAJ
n3055,n4439,1,MAJ
n3057,n3403,1,UNIT
n3057,n3438,1,UNIT
n3057,n3723,1,UNIT
n3057,n4339,1,UNIT
n3070,n3097,1,MAJ
n3070,n3259,1,MAJ
n3070,n3403,1,MAJ
n3070,n3472,1,MAJ
n3070,n3493,1,MAJ
n3070,n3695,1,MAJ
n3070,n3696,1,MAJ
n3070,n3701,1,MAJ
n3070,n3731,1,MAJ
n3070,n3741,1,MAJ
n3070,n3742,1,MAJ
n3070,n3807,1,MAJ
n3070,n3870,1,MAJ
n3070,n3961,1,MAJ
n3070,n4046,1,MAJ
n3070,n4159,1,MAJ
n3070,n4339,1,MAJ
n3070,n4397,1,MAJ
n3070,n4430,1,MAJ
n3070,n4549,1,MAJ
n3097,n3259,1,MAJ
n3097,n3403,1,MAJ
n3097,n3472,1,MAJ
n3097,n3493,1,MAJ
n3097,n3695,1,MAJ
n3097,n3696,1,MAJ
n3097,n3701,1,MAJ
n3097,n3731,1,MAJ
n3097,n3741,1,MAJ
n3097,n3742,1,MAJ
n3097,n3807,1,MAJ
n3097,n3870,1,MAJ
n3097,n3961,1,MAJ
n3097,n4046,1,MAJ
n3097,n4159,1,MAJ
n3097,n4339,1,MAJ
n3097,n4397,1,MAJ
n3097,n4430,1,MAJ
n3097,n4549,1,MAJ
n3102,n3180,1,UNIT
n3102,n3266,1,MAJ
n3102,n3293,1,MAJ
n3102,n3303,1,MAJ
n3102,n3393,1,UNIT
n3102,n3559,1,UNIT
n3102,n3647,1,UNIT
n3102,n3953,1,UNIT
n3102,n4046,1,UNIT
n3102,n4201,1,MAJ
n3102,n4431,1,UNIT
n3129,n3133,1,MAJ
n3129,n3205,1,MAJ
n3129,n3247,1,MAJ
n3129,n3249,1,MAJ
n3129,n3368,1,MAJ
n3129,n3379,1,MAJ
n3129,n3438,1,MAJ
n3129,n3516,1,MAJ
n3129,n3602,1,MAJ
n3129,n3716,1,MAJ
n3129,n3723,1,MAJ
n3129,n3735,1,MAJ
n3129,n3844,1,MAJ
n3129,n4021,1,MAJ
n3129,n4086,1,MAJ
n3129,n4146,1,MAJ
n3129,n4217,1,MAJ
n3129,n4239,1,MAJ
n3129,n4318,1,MAJ
n3129,n4475,1,MAJ
n3129,n4648,1,MAJ
n3133,n3205,1,MAJ
n3133,n3247,1,MAJ
n3133,n3249,1,MAJ
n3133,n3368,1,MAJ
n3133,n3379,1,MAJ
n3133,n3438,1,MAJ
n3133,n3516,1,MAJ
n3133,n3602,1,MAJ
n3133,n3716,1,MAJ
n3133,n3723,1,MAJ
n3133,n3735,1,MAJ
n3133,n3844,1,MAJ
n3133,n4021,1,MAJ
n3133,n4086,1,MAJ
n3133,n4146,1,MAJ
n3133,n4217,1,MAJ
n3133,n4239,1,MAJ
n3133,n4318,1,MAJ
n3133,n4475,1,MAJ
n3133,n4648,1,MAJ
n3161,n3650,1,MAJ
n3161,n3825,1,MAJ
n3161,n4425,1,MAJ
n3180,n3393,2,BOTH
n3180,n3421,1,MAJ
n3180,n3516,1,MAJ
n3180,n3559,1,UNIT
n3180,n3647,2,BOTH
n3180,n3904,1,MAJ
n3180,n3953,2,BOTH
n3180,n4046,1,UNIT
n3180,n4431,1,UNIT
n3180,n4640,1,MAJ
n3182,n3275,1,MAJ
n3182,n3555,1,MAJ
n3195,n3477,1,MAJ
n3195,n3691,1,MAJ
n3195,n4005,1,MAJ
n3205,n3247,1,MAJ
n3205,n3249,1,MAJ
